S.No   Identifier                                First Seen (Line)
----   ----------                                -----------------
1      main_func                                 11
2      x                                         20
3      si                                        21
4      ul                                        22
5      s                                         23
6      c                                         24
7      f                                         25
8      d                                         26
9      flag                                      27
10     alpha                                     31
11     _under_score                              32
12     camelCase                                 33
13     MixED123                                  34
14     a                                         35
15     z9                                        36
16     _leadingUnderscore                        37
17     i1                                        40
18     i2                                        41
19     i3                                        42
20     i4                                        43
21     fp1                                       46
22     fp2                                       47
23     fp3                                       48
24     fp4                                       49
25     ch1                                       52
26     ch2                                       53
27     ch3                                       54
28     ch4                                       55
29     ch5                                       56
30     ch6                                       57
31     ch7                                       58
32     ch8                                       59
33     ch9                                       60
34     ch10                                      61
35     ch11                                      62
36     ch12                                      63
37     ch13                                      64
38     ch14                                      65
39     s1                                        68
40     s2                                        69
41     s3                                        70
42     s4                                        71
43     punc_test                                 76
44     cmp                                       90
45     ptr                                       123
46     val                                       124
47     neg                                       125
48     t                                         132
49     arr                                       135
50     p                                         142
51     q                                         142
52     bad                                       156
